Item,Use,Qty,Price,Qty for price,Per unit price,Units used,Subtotal
Bankers Box file box[1],Outer container (“box”),1,$9.97 ,1,$9.97 ,1,$9.97 
,,,,,,,
"120 mm computer fan, AC Infinity Multifan S3[2]","Airflow, USB-powered, 3 speeds",1,$11.99 ,1,$11.99 ,1,$11.99 
,,,,,,,
120 mm safety grilles[3],Comes in packs of 4 for screening air ,3,$6.99 ,4,$1.75 ,3,$5.24 
,,,,,,,
USB and AC power adapter[4],for everything to plug into,1,$14.99 ,1,$14.99 ,1,$14.99 
,,,,,,,
,,,,,,,
,,total,$43.94 ,,,,
,,,,,,,
,,,,,,,
[1] https://www.walmart.com/ip/Bankers-Box-Plastic-Portable-File-Box/155376229,,,,,,,
[2] https://www.amazon.com/gp/product/B00G05A2MU/ref=ppx_yo_dt_b_asin_title_o02_s02?ie=UTF8&psc=1 ,,,,,,,
[3] https://www.amazon.com/dp/B08FY7QQ6L?psc=1&ref=ppx_pop_dt_b_product_details ,,,,,,,
[4] https://www.amazon.com/gp/product/B08CC6SYCH/ref=ppx_yo_dt_b_asin_title_o02_s02?ie=UTF8&psc=1 ,,,,,,,
